scenario,method,rmse,topk_jaccard,rank_tau,stability,fidelity_r2,spurious_mass,causal_gap,counterfactual_validity,runtime_ms,ci_coverage
CorrBias,HBS-Shapley,0.18362859082045713,0.8666666666666667,0.6689305659583552,0.8333333333333334,0.9384120370782436,0.028391680393931248,0.6330195460397274,1.0044827060796635,0.5779729253845289,0.513888888888889
CorrBias,KernelSHAP,0.05821602141743209,0.9,0.7055387063839368,0.8666666666666667,0.9942633652374067,0.009129510440925153,0.8192336890339731,1.0024848391519978,0.1140479143941775,
CorrBias,LIME-R,0.04580977944309894,0.9666666666666667,0.7454748595754803,0.9222222222222222,0.9932182321696069,0.005236277354319137,0.8622983185155708,1.0003074021649934,0.19536041751659164,
CorrBias,OTBE,0.1201365756198864,0.7999999999999999,0.6556185148945073,0.9055555555555556,0.9707785276236881,0.0269817255479315,0.7123919465367262,1.0005114874628696,1.0619125047621008,0.45486111111111116
CorrBias,OTBE-noBootstrap,0.11227919806336771,0.8333333333333334,0.6988826808520128,0.8222222222222223,0.9754222104030338,0.027230925531946722,0.7223161227472769,1.0027602947994858,0.47241249315751094,0.0
CorrBias,OTBE-noOrthogonal,0.11407543010482873,0.7999999999999999,0.6556185148945073,0.9388888888888888,0.9734973348460921,0.027296721911559792,0.72171052799652,1.0005114874628696,1.1120437460097794,0.37847222222222227
CorrBias,OTBE-noTransport,0.6255134993848781,0.3142857142857143,0.1763846765959842,0.25357142857142856,-0.8428826042455638,0.17024577991208392,0.00385044166493695,1.392395500612433,1.2509833371344332,0.4861111111111111
CorrBias,PEXP-Sim,0.748264348114965,1.0,0.8947368421052633,1.0,0.8894056904342355,0.0,0.5611331227039296,0.9999999668134163,26.979662507073954,
CorrBias,RealExp-O,0.04496356700681594,0.9666666666666667,0.7488028723414423,0.9222222222222222,0.9928059140021396,0.003995092753023224,0.8666599733606276,1.0003074021649934,0.2242167004927372,
CorrBias,TIDE,0.0684646523771799,0.9666666666666667,0.7321628085116325,0.8722222222222222,0.993096557840288,0.009299998378770305,0.8318251947067422,1.0003074021649934,12.645889602329893,
GroupNonlin,HBS-Shapley,0.23632661403188984,0.573015873015873,0.5257743134761872,0.7166666666666667,0.747816484629266,0.032841232700732186,0.2681634748563412,1.0678621945341564,0.46927289804443717,0.4375
GroupNonlin,KernelSHAP,0.24539943493676722,0.5777777777777778,0.6000012753787077,0.6555555555555556,0.7701759182970104,0.028298021095317722,0.32676647713095636,1.0248515615507816,0.1118145592045039,
GroupNonlin,LIME-R,0.2122830814969466,0.5507936507936507,0.6000012753787077,0.7018518518518518,0.8653821784229286,0.029925418611868565,0.3060594766268627,0.9547396629613663,0.19380001079601547,
GroupNonlin,OTBE,0.2342075939134518,0.6333333333333333,0.6000012753787077,0.8444444444444444,0.7337302965213018,0.030462126802374048,0.3121468671853527,0.8893842454093566,1.0638437379384413,0.4322916666666667
GroupNonlin,OTBE-noBootstrap,0.23108270145367124,0.6333333333333333,0.6371147563299681,0.7333333333333334,0.7346764509845469,0.034303513615889306,0.31295129488637896,0.8735894967619956,0.3784479049500078,0.0
GroupNonlin,OTBE-noOrthogonal,0.23102000487615573,0.7000000000000001,0.6556714968055982,0.8166666666666668,0.7282790317140352,0.03209867733142239,0.31051031138224133,0.8733402946122449,1.0286312560007598,0.4270833333333333
GroupNonlin,OTBE-noTransport,0.2744146041937349,0.5507936507936507,0.4144338706224064,0.44087301587301586,-0.4072528276120962,0.11988690849858345,0.09621428758267686,0.6898670201602292,1.2007041659671813,0.513888888888889
GroupNonlin,PEXP-Sim,0.3786869411982676,0.7000000000000001,0.8015487253729656,0.7666666666666667,0.8495255507628728,0.0,0.26924791159865763,0.9353017496489429,27.24903332515775,
GroupNonlin,RealExp-O,0.20118674631257308,0.6444444444444445,0.6247435960128812,0.6592592592592592,0.8660408683709764,0.03136337402613671,0.31364022910452477,1.0010481025998768,0.22877083392813802,
GroupNonlin,TIDE,0.27138731325417026,0.5841269841269842,0.5659805845067192,0.6944444444444445,0.8718977951182225,0.05820118060109006,0.2800799445893503,0.9051035942017435,13.574535415197412,
Interact,HBS-Shapley,0.11018005848669954,0.8333333333333334,0.7237128785495753,0.825925925925926,0.8011901893694241,0.030962256171242954,0.4244178690239135,1.0150025818168917,0.5556104054752117,0.5850694444444444
Interact,KernelSHAP,0.06022045812906673,0.8333333333333334,0.7639191495801073,0.8777777777777778,0.8294772607880105,0.01622426603507603,0.5403633335706979,0.987552583146885,0.12711253172407547,
Interact,LIME-R,0.14555161739127628,0.7333333333333334,0.6773210273605,0.7666666666666666,0.6066015693661482,0.043524878011456186,0.48172389048077885,1.104793560617122,0.24398956641865274,
Interact,OTBE,0.09355622222701214,0.8666666666666667,0.7113417182324886,0.9611111111111111,0.8361985861360367,0.025945356836390748,0.5438236825482424,0.9853375062599617,1.1484250086747732,0.49652777777777785
Interact,OTBE-noBootstrap,0.08197150744572011,0.9333333333333332,0.726805668628847,0.9111111111111111,0.8407088191716708,0.022331150210326434,0.5408639866632976,0.9393328185013651,0.3918104145365457,0.0
Interact,OTBE-noOrthogonal,0.09449109196855315,0.8666666666666667,0.7144345083117601,0.9166666666666666,0.8365468469008461,0.02245683455106473,0.5574612207638069,0.9150700532489012,1.0280479036737233,0.4479166666666667
Interact,OTBE-noTransport,0.5308752005697684,0.3087301587301587,0.15773229404285616,0.2805555555555555,-0.3562552169711255,0.14332979415275257,0.04132867270823396,1.0771380652027067,1.2358437816146761,0.5555555555555556
Interact,PEXP-Sim,0.5755170860537743,0.7000000000000001,0.8464953828705152,0.8055555555555555,0.8084262325867765,0.0,0.28319524340504293,0.9876238557469642,27.157141666975804,
Interact,RealExp-O,0.1557000855287401,0.7666666666666666,0.6433003364885114,0.7388888888888889,0.6107659443026444,0.0329463662046813,0.4837281071621357,1.166208238265744,0.2855375059880316,
Interact,TIDE,0.1574004943524367,0.7333333333333334,0.7298984587081186,0.775925925925926,0.826571124267519,0.03476878976341178,0.6519906806364943,0.9309782823183786,12.663308312767185,
SparseAdd,HBS-Shapley,0.16907741876513552,0.9,0.678914604256241,0.8537037037037036,0.9346193988017656,0.031613127933426084,0.6104839218049892,1.0100934053537556,0.5626041869012018,0.4427083333333333
SparseAdd,KernelSHAP,0.05665570325962038,1.0,0.7488028723414423,0.9314814814814815,0.9945066725638801,0.010067329008271807,0.7991550124071448,0.999999991383031,0.12269999812512349,
SparseAdd,LIME-R,0.03845105278621578,1.0,0.7454748595754803,0.9833333333333334,0.9965534048916099,0.0026777031480804503,0.8610767117589933,0.999999991383031,0.22630417273224643,
SparseAdd,OTBE,0.1236795850589002,0.9666666666666667,0.7454748595754803,0.9666666666666667,0.9686961124190513,0.02252106227175618,0.671263533453511,0.9882259063369686,1.09807917518386,0.4322916666666667
SparseAdd,OTBE-noBootstrap,0.1395219666769875,0.9666666666666667,0.7388188340435565,0.8814814814814814,0.9642275003699349,0.02576687429341094,0.6487100174839356,0.9882259063369686,0.37588333361782134,0.0
SparseAdd,OTBE-noOrthogonal,0.12061024856831119,0.9333333333333332,0.7388188340435565,0.9555555555555556,0.9709914240319781,0.022019797495579987,0.6775081635190229,0.9907041351235607,1.216254163106593,0.3454861111111111
SparseAdd,OTBE-noTransport,0.5693545547435964,0.34603174603174597,0.24960095744714741,0.26931216931216934,-0.3918979837856406,0.17830631532249167,0.011492068063098992,0.9494590068678823,1.2940896025005106,0.548611111111111
SparseAdd,PEXP-Sim,0.53386066437424,1.0,0.8903508771929826,1.0,0.8627173324722192,0.0,0.41288948901453254,0.999999991383031,27.826910401927307,
SparseAdd,RealExp-O,0.038249532950893526,1.0,0.7454748595754803,1.0,0.996438171070711,0.0026090020814991447,0.8609175747710941,0.999999991383031,0.23677287875519445,
SparseAdd,TIDE,0.07879477807687911,0.9666666666666667,0.7354908212775945,0.9777777777777779,0.992171787242205,0.0032098710204746203,0.8486281062116362,0.9882259063369686,12.659633338140944,
