method,rmse,topk_jaccard,rank_tau,stability,fidelity_r2,spurious_mass,causal_gap,counterfactual_validity,runtime_ms,ci_coverage
HBS-Shapley,0.17480317052604552,0.7932539682539682,0.6493330905600897,0.8074074074074074,0.8555095274696748,0.030952074299833116,0.4840212029312428,1.0243602219461168,0.5413651039513449,0.4947916666666667
KernelSHAP,0.1051229044357216,0.8277777777777778,0.7045655009210486,0.8328703703703703,0.8971058042215768,0.015929781644897677,0.621379628035693,1.0037222438081739,0.11891875086197008,
LIME-R,0.11052388277938441,0.8126984126984126,0.6920680054725422,0.8435185185185184,0.8654388462125734,0.020341069281431083,0.6277895993455515,1.014960154281628,0.21486354186587656,
OTBE,0.14289499420481264,0.8166666666666668,0.678109092020296,0.9194444444444444,0.8773508806750194,0.02647756786461312,0.559906507430958,0.965864786367289,1.0930651066397938,0.4539930555555556
OTBE-noBootstrap,0.14121384340993662,0.8416666666666667,0.700405484963596,0.837037037037037,0.8787587452322967,0.02740811591289335,0.5562103554452222,0.9509771290999538,0.40463853656547144,0.0
OTBE-noOrthogonal,0.1400491938794622,0.8250000000000001,0.6911358385138556,0.9069444444444444,0.877328659373238,0.025968007822406727,0.5667975559153978,0.9449064926118941,1.096244267197714,0.3997395833333333
OTBE-noTransport,0.5000394647229945,0.37996031746031744,0.24953794967709853,0.3110780423280423,-0.49957215815360656,0.15294219947147789,0.03822136750473669,1.0272148982108127,1.2454052218042004,0.5260416666666666
PEXP-Sim,0.5590822599353117,0.85,0.8582829568854317,0.8930555555555556,0.852518701564026,0.0,0.3816164416805407,0.9807313908980886,27.303186975283705,
RealExp-O,0.11002498294975567,0.8444444444444444,0.6905804161045789,0.8300925925925925,0.8665127244366179,0.01772845876633509,0.6312364710995956,1.0418909336034112,0.2438244797910253,
TIDE,0.14401180951516648,0.8126984126984126,0.6908831682510161,0.8300925925925927,0.9209343161170587,0.02636995994093669,0.6531309815360558,0.9561537962555211,12.885841667108858,
